Company Code,Company Name,No,Subsidiary Name,Business Activity,Location,Commercial Year,Operating Status,Total Assets,Unit,Currency,Ownership Percentage
TAPG,PT Triputra Agro Persada Tbk.,1,PT Agro Multi Persada (AMP),Perusahaan induk,Jakarta Selatan,2005,Beroperasi,9.316.917,JUTAAN,IDR,94.93
PALM,PT Provident Investasi Bersama Tbk,1,PT Sarana Investasi Nusantara (SIN),Perusahaan Holding,DKI Jakarta,0,Tidak Beroperasiona l,175.123,RIBUAN,IDR,99.65
PALM,PT Provident Investasi Bersama Tbk,2,PT Suwarna Arta Mandiri (SAM) (Melalui AP),Perusahaan Holding,DKI Jakarta,2018,Beroperasiona l,6.129.027.974,RIBUAN,IDR,0.01
PALM,PT Provident Investasi Bersama Tbk,3,PT Sarana Investasi Nusantara (SIN) (Melalui SAM),Perusahaan Holding,DKI Jakarta,0,Tidak Beroperasiona l,175.123,RIBUAN,IDR,0.35
PALM,PT Provident Investasi Bersama Tbk,4,PT Alam Permai (AP),Perusahaan Holding,DKI Jakarta,2023,Beroperasiona l,4.305.318.063,RIBUAN,IDR,99.99
PALM,PT Provident Investasi Bersama Tbk,5,PT Suwarna Arta Mandiri (SAM),Perusahaan Holding,DKI Jakarta,2018,Beroperasiona l,6.129.027.974,RIBUAN,IDR,99.99
MLIA,Mulia Industrindo Tbk,1,PT Muliaglass,"Industri kaca lembaran, kaca pengaman, botol kemasan dan glass block",Cikarang,1993,Operasi,7.092.700.519,RIBUAN,IDR,99.99
PANR,Panorama Sentrawisata Tbk,1,Panorama Destination (Thailand) Ltd,Biro perjalanan wisata,Thailand,2021,Aktif,93.343.242,RIBUAN,IDR,32.41
PANR,Panorama Sentrawisata Tbk,2,PT Panorama Ventura Indonesia,Perdagangan umum dan jasa,Jakarta,2012,Aktif,235.907.889,RIBUAN,IDR,99.99
PANR,Panorama Sentrawisata Tbk,3,PT Duta Chandra Kencana,Perdagangan umum dan jasa,Jakarta,2007,Aktif,58.313.184,RIBUAN,IDR,99.98
PANR,Panorama Sentrawisata Tbk,4,PT Andalan Selaras Abadi,Perdagangan umum dan jasa,Jakarta,0,Pra-operasi,200.648.848,RIBUAN,IDR,64.12
PANR,Panorama Sentrawisata Tbk,5,PT Panorama Aplikasi Nusantara,Perdagangan umum dan jasa,Jakarta,0,Pra-operasi,2.090.847,RIBUAN,IDR,100.0
PANR,Panorama Sentrawisata Tbk,6,PT Panorama JTB Tours Indonesia,Biro perjalanan wisata,Jakarta,1999,Aktif,737.715.535,RIBUAN,IDR,60.0
PANR,Panorama Sentrawisata Tbk,7,PT Smartravelind o Perkasa,Biro perjalanan wisata,Jakarta,2007,Aktif,63.463.989,RIBUAN,IDR,30.0
PANR,Panorama Sentrawisata Tbk,8,PT Dwi Ratna Pertiwi,Biro perjalanan wisata,Jakarta,1981,Aktif,37.182.315,RIBUAN,IDR,32.63
PANR,Panorama Sentrawisata Tbk,9,PT Misi Pelayaran Mandiri,Biro perjalanan wisata,Jakarta,2012,Aktif,49.709.785,RIBUAN,IDR,57.0
PANR,Panorama Sentrawisata Tbk,10,PT Trip Tour Travel,Biro perjalanan wisata,Jakarta,2014,Aktif,22.453.619,RIBUAN,IDR,46.82
PANR,Panorama Sentrawisata Tbk,11,PT Mitra Panorama Internasional,Perdagangan umum dan jasa,Jakarta,2017,Aktif,3.456.676,RIBUAN,IDR,60.04
PANR,Panorama Sentrawisata Tbk,12,PT Chan Brothers Travel Indonesia,Biro perjalanan wisata,Jakarta,2002,Aktif,88.904.925,RIBUAN,IDR,29.97
PANR,Panorama Sentrawisata Tbk,13,PT Andalan Wisata Benua,Biro perjalanan wisata,Jakarta,2018,Aktif,42.208.578,RIBUAN,IDR,50.95
PANR,Panorama Sentrawisata Tbk,14,PT Destinasi Tirta Nusantara Tbk,Biro perjalanan wisata,Jakarta,2000,Aktif,287.507.505,RIBUAN,IDR,66.15
PANR,Panorama Sentrawisata Tbk,15,PT Destinasi Garuda Wisata,Biro perjalanan wisata,Yogyakarta,2002,Aktif,8.163.606,RIBUAN,IDR,33.73
PANR,Panorama Sentrawisata Tbk,16,PT Graha Destinasi,Perdagangan umum dan jasa,Jakarta,0,Pra-operasi,112.275.308,RIBUAN,IDR,66.15
PANR,Panorama Sentrawisata Tbk,17,PT Panorama Destinasi Indonesia,Biro perjalanan wisata,Bali,2008,Aktif,16.148.593,RIBUAN,IDR,52.92
PANR,Panorama Sentrawisata Tbk,18,"Panorama Destination (S) Pte., Ltd.,",Biro perjalanan wisata/,Singapura,2009,Aktif,2.357.641,RIBUAN,IDR,66.15
PANR,Panorama Sentrawisata Tbk,19,Panorama Destination (M) Sdn. Bhd,Biro perjalanan wisata,Kuala Lumpur,2019,Aktif,39.876.634,RIBUAN,IDR,66.15
PANR,Panorama Sentrawisata Tbk,20,PT Destinasi Alam Indonesia,Biro perjalanan wisata,Jakarta,2025,Pra-operasi,1.350.898,RIBUAN,IDR,66.15
PANR,Panorama Sentrawisata Tbk,21,Panorama Destination (Vietnam) Jv Ltd,Biro perjalanan wisata,Vietnam,2020,Aktif,2.022.630,RIBUAN,IDR,44.98
JKON,Jaya Konstruksi Manggala Pratama Tbk,1,PT Jaya Daido Concrete,"Produksi Tiang Pancang Beton Pra Tekan, Mengarahkan Tiang Pancang Beton, Desain dan Perencanaan Pondasi Tiang Pancang, Pelaksana dan Menganalisa Pengujian Muatan Beban",Tangerang,1991,1991,11.181.885,RIBUAN,IDR,88.7625
JKON,Jaya Konstruksi Manggala Pratama Tbk,2,PT Jaya Konstruksi Pratama Tol,Pembangunan dan Jasa,Jakarta,2009,2009,5.123.717,RIBUAN,IDR,75.0
JKON,Jaya Konstruksi Manggala Pratama Tbk,3,PT Jaya Trade Indonesia,Perdagangan,Jakarta,1971,971,1.238.938.022,RIBUAN,IDR,99.9999
JKON,Jaya Konstruksi Manggala Pratama Tbk,4,PT Jaya Beton Indonesia,Produksi dan Perdagangan Barang Bangunan yang Dibuat dari Campuran Beton,Tangerang,1978,1978,485.254.546,RIBUAN,IDR,99.8959
JKON,Jaya Konstruksi Manggala Pratama Tbk,5,PT Jaya Teknik Indonesia,"perdagangan, pembangunan , jasa dan perindustrian",Jakarta,1970,1970,443.290.573,RIBUAN,IDR,99.99
ASHA,PT Cilacap Samudera Fishing Industry Tbk,1,PT JEMBATAN LINTAS GLOBAL,PERDAGANG AN IKAN,"JL. GEDONG PANJANG II NO. 14, KEL. PEKOJAN, KEC. TAMBORA, JAKARTA BARAT",2011,AKTIF,998.981.015,RIBUAN,IDR,99.97
MINA,PT Sanurhasta Mitra Tbk.,1,PT SANURHAST A GRIYA (Kepemilikan tidak langsung melalui PT MINNA PADI RESORTS),DEVELOPER,BOYOLALI,2019,BELUM MULAI OPERASI,23.779.497.444,PENUH,IDR,66.25
MINA,PT Sanurhasta Mitra Tbk.,2,PT SANURHAST A GRIYA,DEVELOPER,BOYOLALI,2019,BELUM MULAI OPERASI,23.779.497.444,PENUH,IDR,33.75
MINA,PT Sanurhasta Mitra Tbk.,3,PT MINNA PADI RESORTS,PERHOTELA N DAN VILA,BALI,2014,OPERASI,27.791.569.539,PENUH,IDR,99.67
DRMA,PT Dharma Polimetal Tbk,1,PT Dharma Electrindo Manufacturing (DEM),Produksi komponen kendaraan bermotor,Cikarang,2002,Operasional,836.989,JUTAAN,IDR,99.99
DRMA,PT Dharma Polimetal Tbk,2,PT Trimitra Chitrahasta (TCH),Produksi komponen kendaraan bermotor,Cikarang,1994,Operasional,438.809,JUTAAN,IDR,70.0
DRMA,PT Dharma Polimetal Tbk,3,PT Dharma Poliplast (DPP),Produksi helm,Cikarang,2003,Operasional,176.276,JUTAAN,IDR,99.0
DRMA,PT Dharma Polimetal Tbk,4,PT Dharma Precision Tools (DPT),Produksi perlengkapan mesin pengolahan,Cikarang,1994,Operasional,120.071,JUTAAN,IDR,99.99
DRMA,PT Dharma Polimetal Tbk,5,PT Dharma Precision Parts (DPA),Produksi komponen peralatan kesehatan dan kendaraan bermotor,Cikarang,1997,Operasional,182.914,JUTAAN,IDR,93.4
DRMA,PT Dharma Polimetal Tbk,6,PT Dharma Controlcable Indonesia (DCI),Produksi kabel control motor,Cikarang,2003,Operasional,218.482,JUTAAN,IDR,85.9
DRMA,PT Dharma Polimetal Tbk,7,PT Saikono Otoparts Indonesia (SOI),Produksi komponen kendaraan bermotor,Cikarang,2018,Operasional,96.530,JUTAAN,IDR,99.99
DRMA,PT Dharma Polimetal Tbk,8,PT Dharma Energy Resources (DER),Jasa dan logistik,Cikarang,2023,Belum Operasional,25,JUTAAN,IDR,96.0
DRMA,PT Dharma Polimetal Tbk,9,PT Mah Sing Indonesia,Produksi komponen plastik untuk kendaraan bermotor,Cikarang,2025,Operasional,85.639,JUTAAN,IDR,82.0
IRSX,PT Folago Global Nusantara Tbk,1,PT Folago Pictures Indonesia,"Aktivitas pemutaran produksi dan pasca- produksi film, video dan program televisi",Tangerang Selatan,2025,Operasional,127.340.000,PENUH,IDR,99.2
IRSX,PT Folago Global Nusantara Tbk,2,PT Folago Artificial Intelligent Commerce,"Aktivitas pemutaran produksi dan pasca- produksi film, video dan program televisi",Tangerang Selatan,2025,Operasional,136.340.000,PENUH,IDR,99.2
IRSX,PT Folago Global Nusantara Tbk,3,PT Lumino Digital Kreativ,"Aktivitas profesional, ilmiah dan teknis",Jakarta,2023,Operasional,1.347.362.964,PENUH,IDR,51.0
IRSX,PT Folago Global Nusantara Tbk,4,PT Hobi Bikin Triliunan,"Aktivitas penerbitan, aktivitas produksi gambar bergerak, video dan program televisi perekaman suara, dan penerbitan musik, aktivitas profesional, ilmiah dan teknis lainnya, aktivitas jasa informasi",Jakarta,2024,Operasional,121.828.201,PENUH,IDR,66.0
IRSX,PT Folago Global Nusantara Tbk,5,PT Digital Nata Karya,Aktivitas telekomunikas i lainnya,Jakarta,2019,Operasional,126.592.786.078,PENUH,IDR,99.91
IRSX,PT Folago Global Nusantara Tbk,6,PT Folago Gaya Hidup,Aktivitas konsultan manajemen,Tangerang Selatan,2018,Operasional,27.073.744.349,PENUH,IDR,99.99
IRSX,PT Folago Global Nusantara Tbk,7,PT Folago Digital Media,Aktivitas konsultan manajemen lainnya dan perdagangan eceran khusus alat permainan,Tangerang Selatan,2023,Operasional,2.007.243.751,PENUH,IDR,80.0
IRSX,PT Folago Global Nusantara Tbk,8,PT Folago Karya Indonesia,Aktivitas konsultan manajemen lainnya,Tangerang Selatan,2023,Operasional,63.271.592.877,PENUH,IDR,80.0
RICY,Ricky Putra Globalindo Tbk,1,PT Ricky Hansen Cemerlang,Distribusi,Jakarta,2010,Aktif,24.822.492.082,PENUH,IDR,90.0
RICY,Ricky Putra Globalindo Tbk,2,PT Ricky Tekstil Indonesia,Manufaktur,Bogor,2011,Aktif,68.530.239.925,PENUH,IDR,93.0
RICY,Ricky Putra Globalindo Tbk,3,PT Ricky Garmen Exportindo,Industri,Bogor,2012,Aktif,144.012.492.395,PENUH,IDR,97.0
RICY,Ricky Putra Globalindo Tbk,4,PT RT Mahkota Globalindo,Distribusi,Bogor,2013,Aktif,6.054.731.372,PENUH,IDR,80.0
RICY,Ricky Putra Globalindo Tbk,5,PT Ricky Gunze,Manufaktur,Bogor,2013,Aktif,42.690.936.931,PENUH,IDR,65.0
RICY,Ricky Putra Globalindo Tbk,6,PT Ricky Sportindo,Manufaktur,Bogor,2013,Aktif,53.770.829.081,PENUH,IDR,90.0
RICY,Ricky Putra Globalindo Tbk,7,PT Ricky Citra Rasa,Restoran,Jakarta,2013,Aktif,3.261.913.252,PENUH,IDR,99.0
RICY,Ricky Putra Globalindo Tbk,8,"RPG Vietnam Co., Ltd",Distribusi,Vietnam,2014,Aktif,0,PENUH,IDR,100.0
RICY,Ricky Putra Globalindo Tbk,9,PT Ricky Kobayashi,Manufaktur,Jakarta,2014,Aktif,31.035.745.806,PENUH,IDR,51.0
RICY,Ricky Putra Globalindo Tbk,10,PT Jasa Ricky Abadi,Distribusi,Medan,1995,Aktif,15.609.112.823,PENUH,IDR,99.92
RICY,Ricky Putra Globalindo Tbk,11,PT Ricky Jaya Sakti,Distribusi,Surabaya,1996,Aktif,25.968.071.777,PENUH,IDR,95.0
RICY,Ricky Putra Globalindo Tbk,12,PT Ricky Musi Wijaya,Distribusi,Palembang,1997,Aktif,19.819.661.581,PENUH,IDR,99.8
RICY,Ricky Putra Globalindo Tbk,13,PT Ricky Mumbul Daya,Distribusi,Semarang,1997,Aktif,16.894.354.575,PENUH,IDR,51.0
RICY,Ricky Putra Globalindo Tbk,14,PT Ricky Arta Jaya,Distribusi,Bandung,1997,Aktif,19.527.500.571,PENUH,IDR,99.8
CGAS,PT Citra Nusantara Gemilang Tbk.,1,PT Citra Nusantara Energi,Perdagangan Gas,Surabaya,2007,Ya,39.530.654.773,PENUH,IDR,98.96
CGAS,PT Citra Nusantara Gemilang Tbk.,2,PT CNG Hilir Raya,Perdagangan Gas,Palembang,2010,Ya,46.518.419.967,PENUH,IDR,79.2
CGAS,PT Citra Nusantara Gemilang Tbk.,3,PT CNG Global,Perdagangan Peralatan Gas,Jakarta,2008,Ya,15.075.259.898,PENUH,IDR,75.0
CGAS,PT Citra Nusantara Gemilang Tbk.,4,PT Cipta Risqi Energ,Perdagangan Gas,Jakarta,2019,Ya,36.389.285.068,PENUH,IDR,60.0
MLPT,PT Multipolar Technology Tbk.,1,PT Alpha Innovation Technology,Jasa dan konsultasi,Jakarta,2025,Beroperasi,8.315,JUTAAN,IDR,66.0
MLPT,PT Multipolar Technology Tbk.,2,PT Innovatech Buana Utama,Jasa dan konsultasi,Jakarta,0,belum beroperasi,21,JUTAAN,IDR,99.92
MLPT,PT Multipolar Technology Tbk.,3,PT Investech Venture International,Jasa dan konsultasi,Jakarta,0,belum beroperasi,26,JUTAAN,IDR,100.0
MLPT,PT Multipolar Technology Tbk.,4,PT MLPT Data Intelligence,Jasa dan konsultasi,Jakarta,0,belum beroperasi,135,JUTAAN,IDR,100.0
MLPT,PT Multipolar Technology Tbk.,5,PT Alpha Intelligence International,Jasa dan perindustrian,Jakarta,0,belum beroperasi,14,JUTAAN,IDR,100.0
MLPT,PT Multipolar Technology Tbk.,6,PT Techno One Consulting,Jasa dan konsultasi,Jakarta,2010,Beroperasi,9.013,JUTAAN,IDR,70.0
MLPT,PT Multipolar Technology Tbk.,7,PT Artomoro Prima Internasional,Jasa dan perindustrian,Jakarta,2014,Beroperasi,71.480,JUTAAN,IDR,100.0
MLPT,PT Multipolar Technology Tbk.,8,PT Meta Dana Sentosa,Jasa dan konsultasi,Jakarta,2025,Beroperasi,641,JUTAAN,IDR,50.0
MLPT,PT Multipolar Technology Tbk.,9,PT Visionet Data Internasional,Jasa dan perdagangan umum,Jakarta,2016,Beroperasi,818.041,JUTAAN,IDR,99.95
MLPT,PT Multipolar Technology Tbk.,10,PT Multi Solusi Andal,Jasa dan konsultasi,Jakarta,0,belum beroperasi,53.911,JUTAAN,IDR,100.0
MLPT,PT Multipolar Technology Tbk.,11,PT Digital Daya Teknologi,Jasa dan konsultasi,Jakarta,2023,Beroperasi,135.073,JUTAAN,IDR,100.0
MLPT,PT Multipolar Technology Tbk.,12,PT Teknologi Pamadya Analitika,Jasa dan konsultasi,Tangerang,2022,Beroperasi,51.981,JUTAAN,IDR,100.0
MLPT,PT Multipolar Technology Tbk.,13,PT Digital Data Venture,Jasa dan konsultasi,Tangerang,2021,Beroperasi,535,JUTAAN,IDR,100.0
DVLA,Darya-Varia Laboratoria Tbk,1,PT Varia Interhealth Indonesia,"Pedagang besar alat laboratorium, alat farmasi, dan alat kedokteran untuk manusia.","Gedung South Quarter Tower A, Lt. 21",2025,Operasi,89.734.561,RIBUAN,IDR,99.99
NZIA,"PT Nusantara Almazia, Tbk.",1,PT Serena Inti Sejati,Pengembanga n perumahan dan real estat,Karawang,2019,2019,112.164.675.003,PENUH,IDR,68.0
WINE,PT Hatten Bali Tbk,1,PT Arpan Bali Utama,"Industri, perdagangan umum, pengadaan barang, jasa, pergudangan dan pengangkutan",Bali,2002,Beroperasi,225.275.285.694,PENUH,IDR,99.0
BEEF,PT Estika Tata Tiara Tbk.,1,PT Sinar Wijaya Utama,Perdagangan,DKI Jakarta,2022,beroperasi,25.037,JUTAAN,IDR,99.0
BEEF,PT Estika Tata Tiara Tbk.,2,PT De Glow International,Manufaktur,"Cikarang, Jawa Barat",2009,beroperasi,45.536,JUTAAN,IDR,99.62
BEEF,PT Estika Tata Tiara Tbk.,3,PT Sukses International Anugerah Pratama,Perdagangan,DKI Jakarta,2019,beroperasi,154.940,JUTAAN,IDR,99.0
BEEF,PT Estika Tata Tiara Tbk.,4,PT Fajar Jaya Anugerah,Perdagangan,DKI Jakarta,2013,beroperasi,57.947,JUTAAN,IDR,99.0
MPMX,PT Mitra Pinasthika Mustika Tbk.,1,PT Mitra Pinasthika Mulia,Penjualan sepeda motor dan komponen pendukung,Surabaya,2011,Operasi,2.726.478,JUTAAN,IDR,99.99
MPMX,PT Mitra Pinasthika Mustika Tbk.,2,PT Armada Maha Karya,"Perdagangan umum dan kendaraan bermotor dengan jual beli, sewa beli, jual beli dengan cicilan menggunakan perangkat lunak",Tangerang,2017,Operasi,0,JUTAAN,IDR,100.0
MPMX,PT Mitra Pinasthika Mustika Tbk.,3,PT Asuransi Mitra Pelindung Mustika,Asuransi umum,Jakarta,2012,Operasi,1.920.704,JUTAAN,IDR,99.5
MPMX,PT Mitra Pinasthika Mustika Tbk.,4,PT Mitra Pertama Mulia,Perdagangan suku cadang dan aksesori mobil dan motor; reparasi mobil dan perawatan motor,Surabaya,2022,Operasi,29.834,JUTAAN,IDR,100.0
MPMX,PT Mitra Pinasthika Mustika Tbk.,5,PT Mitra Pinasthika Mustika Auto,Penjualan kendaraan roda empat dan komponen pendukung,Tangerang,2013,Operasi,8.817,JUTAAN,IDR,100.0
MPMX,PT Mitra Pinasthika Mustika Tbk.,6,PT Putra Mustika Prima,Distribusi minyak pelumas,Tangerang,2016,Operasi,13.603,JUTAAN,IDR,100.0
PNIN,Paninvest Tbk,1,PT Panin Financial Tbk,"Jasa Konsultasi Bisnis, Manajemen dan Administrasi Umum",Jakarta,2021,sudah beroperasiona l,241.640.903,JUTAAN,IDR,67.86
PNIN,Paninvest Tbk,2,PT Panin Geninholdco,Perdagangan dan Jasa,Jakarta,2021,belum beroperasiona l,70.845,JUTAAN,IDR,99.99
GJTL,Gajah Tunggal Tbk,1,PT Filamendo Sakti,Industri pembuatan nylon filament yarn,Jakarta,1993,Beroperasi,610.513,JUTAAN,IDR,99.99
GJTL,Gajah Tunggal Tbk,2,PT. Prima Sentra Megah,Perdagangan umum,Jakarta,2005,Beroperasi,1.544.182,JUTAAN,IDR,99.0
MSIE,PT Multisarana Intan Eduka Tbk,1,PT. Surya Kebenaran Nusantara,Real estate,BALI,2024,AKTIF,12.576.086.776,PENUH,IDR,99.99
ARNA,Arwana Citramulia Tbk,1,PT Sinar Karya Duta Abadi,Industi Keramik,Jakarta,2002,Sudah Beroperasi,1.703.155.454.481,PENUH,IDR,99.9
ARNA,Arwana Citramulia Tbk,2,PT Primagraha Keramindo,Distributor Keramik,Jakarta,1995,Sudah Beroperasi,789.264.870.222,PENUH,IDR,65.0
ARNA,Arwana Citramulia Tbk,3,PT Arwana Anugerah Keramik,Industri Keramik,Jakarta,2013,Sudah BeroperasiBer operasi,656.267.719.249,PENUH,IDR,99.9
ARNA,Arwana Citramulia Tbk,4,PT Arwana Nuansakerami k,Industri Keramik,Jakarta,1997,Sudah Beroperasi,617.483.817.258,PENUH,IDR,99.9
TRIM,PT Trimegah Sekuritas Indonesia Tbk,1,PT Trimegah Asset Management,Manajer Investasi,Jakarta,2010,Aktif,433.735.804,RIBUAN,IDR,99.9
TRIM,PT Trimegah Sekuritas Indonesia Tbk,2,PT Trimegah Sekuritas,Broker Dealer,Jakarta,2022,Aktif,1.017.842,RIBUAN,IDR,99.9
HELI,PT Jaya Trishindo Tbk,1,PT Komala Indonesia,"Angkutan udara niaga tak berjadwal, yaitu penyewaan pesawat helikopter","Rukan Grand Aries Niaga, Jl. Taman Aries Blok E1 No 1A,",2013,Beroperasi,336.909.656.007,PENUH,IDR,99.0
KPIG,MNC Tourism Indonesia Tbk,1,PT Kios Ria Kreasi,Hotel & Taman Rekreasi,Bali,2025,Belum Beroperasi,213.450,JUTAAN,IDR,55.0
KPIG,MNC Tourism Indonesia Tbk,2,PT Global Jasa Sejahtera,Jasa Keamanan,Jakarta,2010,Beroperasi,420.741,JUTAAN,IDR,99.67
KPIG,MNC Tourism Indonesia Tbk,3,PT MNC Land Bali,"Resor, Lapangan Golf & Hotel",Jakarta,1997,Beroperasi,8.228.943,JUTAAN,IDR,99.99
KPIG,MNC Tourism Indonesia Tbk,4,PT MNC Land Lido,"Resor, Lapangan Golf & Hotel",Jakarta,2006,Beroperasi,14.959.343,JUTAAN,IDR,99.99
KPIG,MNC Tourism Indonesia Tbk,5,PT Nusadua Graha International,Hotel & Konvensi,Jakarta,1988,Beroperasi,708.715,JUTAAN,IDR,53.98
KPIG,MNC Tourism Indonesia Tbk,6,PT MNC Wahana Wisata,Taman Rekreasi,Jakarta,2014,Beroperasi,4.518.649,JUTAAN,IDR,94.53
KPIG,MNC Tourism Indonesia Tbk,7,PT MNC Lido Resort,Lapangan Golf,Bogor,1995,Beroperasi,289.943,JUTAAN,IDR,99.85
KPIG,MNC Tourism Indonesia Tbk,8,PT MNC Lido Hotel,Resor & Hotel,Bogor,1995,Beroperasi,376.952,JUTAAN,IDR,99.99
KPIG,MNC Tourism Indonesia Tbk,9,PT GLD Property,Pengembang Properti,Jakarta,1997,Beroperasi,2.592.970,JUTAAN,IDR,99.99
KPIG,MNC Tourism Indonesia Tbk,10,PT MNC Land Surabaya,Pengembang Properti,Jakarta,2009,Beroperasi,1.103.290,JUTAAN,IDR,98.64
KPIG,MNC Tourism Indonesia Tbk,11,PT MNC Graha Bali,Pengembang Properti,Jakarta,2005,Beroperasi,19.647,JUTAAN,IDR,99.99
KPIG,MNC Tourism Indonesia Tbk,12,PT MNC Development Bali,Pengembang Properti,Jakarta,2025,Belum Beroperasi,163.103,JUTAAN,IDR,99.99
LPIN,Multi Prima Sejahtera Tbk,1,PT Cipta Global Internasional Entitas anak CSMJ,"Perdagangan, jasa, pembangunan dan percetakan",Tangerang,,Tidak Beroperasi,200,JUTAAN,IDR,100.0
LPIN,Multi Prima Sejahtera Tbk,2,PT Bintang Sinar Fortuna (BSF) Entitas anak CSMJ,"Perdagangan, jasa, pembangunan dan percetakan",Tangerang,,Beroperasi,30.000,JUTAAN,IDR,73.0
LPIN,Multi Prima Sejahtera Tbk,3,PT Multi Usaha Wisesa (MUW),Perdagangan umum dan penyertaan,Jakarta,1982,Beroperasi,24.420,JUTAAN,IDR,99.99
LPIN,Multi Prima Sejahtera Tbk,4,PT Champion Multi Usaha (CMU),Perdagangan dan perindustrian umum,Jakarta,2000,Tidak Beroperasi,98,JUTAAN,IDR,100.0
LPIN,Multi Prima Sejahtera Tbk,5,PT Metropolitan Sinar Indah (MSI),Perdagangan dan perindustrian umum,Jakarta,,Tidak Beroperasi,1,JUTAAN,IDR,100.0
LPIN,Multi Prima Sejahtera Tbk,6,PT Cipta Selaras Maju Jaya (CSMJ),"Perdagangan, jasa, pembangunan dan percetakan",Tangerang,,Beroperasi,30.062,JUTAAN,IDR,100.0
LPIN,Multi Prima Sejahtera Tbk,7,PT Karya Indah Selaras Jaya (KISJ),"Perdagangan, jasa, pembangunan dan percetakan",Tangerang,,Tidak Beroperasi,85,JUTAAN,IDR,100.0
TRJA,PT Transkon Jaya Tbk.,1,PT Borneo Sentana Gemilang,"Penyedia jasa alih daya, perdagangan suku cadang, dan aksesoris mobil/ Outsourcing service, trading of vehicle spare parts and accessories","Jl Mulawarman Komplek Hidup Baru Lantai II No 19 Kel. Manggar, Kec. Balikpapan Timur, Balikpapan",2022,Beroperasi,5.835.848.443,PENUH,IDR,99.8
TRJA,PT Transkon Jaya Tbk.,2,PT Multinet Perkasa Indonesia,"Penyedia jasa layanan informasi dan komunikasi, perdagangan besar dan eceran, dan reparasi dan perawatan mobil serta sepeda motor/ Information and communicatio n services, wholesalers and retailers, and repair and maintenance of cars and motorcycles","Komplek Balikpapan Baru, Jl Letkol Pol H. M. Asnawi Arbian No 18 Balikpapan",2022,Beroperasi,2.091.426.533,PENUH,IDR,99.8
WINS,Wintermar Offshore Marine Tbk,1,PT Hammar Marine Offshore (HMO),Pelayaran,Batam,2011,Beroperasi,1.652.390,PENUH,USD,100.0
WINS,Wintermar Offshore Marine Tbk,2,PT PSV Indonesia (PSV),Pelayaran,Jakarta,2010,Beroperasi,78.363.784,PENUH,USD,51.0
WINS,Wintermar Offshore Marine Tbk,3,PT Winpan Offshore (Winpan),Pelayaran,Jakarta,2011,Beroperasi,16.388.375,PENUH,USD,51.0
WINS,Wintermar Offshore Marine Tbk,4,PT Win Offshore (Wino),Pelayaran,Jakarta,2012,Beroperasi,10.480.814,PENUH,USD,100.0
WINS,Wintermar Offshore Marine Tbk,5,PT WM Offshore (WMO),Pelayaran,Jakarta,2013,Beroperasi,31.212.565,PENUH,USD,51.0
WINS,Wintermar Offshore Marine Tbk,6,PT Fast Offshore Indonesia (FOI),Pelayaran,Jakarta,2009,Beroperasi,15.713.375,PENUH,USD,51.0
WINS,Wintermar Offshore Marine Tbk,7,PT Wintermar Geo Offshore (WGO),Pelayaran,Jakarta,0,Belum Beroperasi,143.361,PENUH,USD,98.0
WINS,Wintermar Offshore Marine Tbk,8,PT Alto Nautika Teknologi (Alto),Platform Digital,Jakarta,0,Belum Beroperasi,260.409,PENUH,USD,65.0
WINS,Wintermar Offshore Marine Tbk,9,PT Marine Solusindo Teknik (MST),Reparasi Kapal,Batam,2024,Beroperasi,880.426,PENUH,USD,100.0
WINS,Wintermar Offshore Marine Tbk,10,PT Wintermar (Wintermar),Pelayaran,Jakarta,1971,Beroperasi,91.234.371,PENUH,USD,99.71
WINS,Wintermar Offshore Marine Tbk,11,Wintermar (B) Sdn Bhd,Pelayaran,Brunei,2016,Beroperasi,2.663.624,PENUH,USD,99.44
WINS,Wintermar Offshore Marine Tbk,12,PT Arial Niaga Nusantara (Arial),Pelayaran,Palembang,1997,Beroperasi,1.494.392,PENUH,USD,99.51
WINS,Wintermar Offshore Marine Tbk,13,PT Azureus Simulator Asia (ASA),Pelatihan,Jakarta,2017,Beroperasi,368.077,PENUH,USD,100.0
WINS,Wintermar Offshore Marine Tbk,14,PT Nusa Maritim Jaya (NMJ),Pelayaran,Jakarta,2021,Beroperasi,475.844,PENUH,USD,100.0
WINS,Wintermar Offshore Marine Tbk,15,PT Sentosasegar a Mulia Shipping (SMS),Pelayaran,Jakarta,1995,Beroperasi,33.312.761,PENUH,USD,99.82
WINS,Wintermar Offshore Marine Tbk,16,PT Marine Solution Management Services (MSMS),Pengelolaan Kapal,Jakarta,0,Belum Beroperasi,436.267,PENUH,USD,100.0
PTMP,PT Mitra Pack Tbk.,1,PT MASTER PRINT TBK,"PERDAGANG AN SEBAGAI DISTRIBUTO R RESMI DAN PENYEWAAN BARANG INDUSTRI PENGEMASA N TERMASUK SUKU CADANG DAN SERVIS SEPERTI CODING, MARKING, LABELLING, PRODUCT INSPECTION SYSTEMS SERTA SHRINK- PACKAGING, FOOD PACKAGING DAN PHARMACEU TICAL (BLISTER PACKAGING)",DKI JAKARTA,2008,TELAH BEROPERASI,120.853.370.450,PENUH,IDR,24.1
NISP,PT Bank OCBC NISP Tbk,1,PT OCBC NISP VENTURA,Melakukan kegiatan pembiayaan dalam bentuk penyertaan modal ke dalam suatu perusahaan,Jakarta,2020,Sudah Beroperasi,266.797,JUTAAN,IDR,99.9
