All Subindustries in Companies with Mapping Status:
Subindustri                                        | Count | Sektor IDX                | sektor_pdb                          | subsektor_pdb
Kertas                                             | 6     | Barang Baku               | Industri Pengolahan                 | Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman
Perangkat Lunak                                    | 6     | Teknologi                 | Industri Pengolahan                 | Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik
Penyiaran                                          | 6     | Barang Konsumen Non-Primer | Industri Pengolahan                 | Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman
Alumunium                                          | 5     | Barang Baku               | Industri Pengolahan                 | Industri Logam Dasar
Perusahaan Holding Multi-sektor                    | 5     | Perindustrian             | Industri Pengolahan                 | Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan
Perangkat Komputer                                 | 5     | Teknologi                 | Industri Pengolahan                 | Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik
Ritel Pakaian & Tekstil                            | 5     | Barang Konsumen Non-Primer | Industri Pengolahan                 | Industri Tekstil dan Pakaian Jadi
Minuman Keras                                      | 5     | Barang Konsumen Primer    | Industri Pengolahan                 | Industri Makanan dan Minuman
Fasilitas Rekreasi & Olah Raga                     | 5     | Barang Konsumen Non-Primer | Penyediaan Akomodasi dan Makan Minum | Penyediaan Akomodasi
Ritel & Distributor Makanan                        | 5     | Barang Konsumen Primer    | Penyediaan Akomodasi dan Makan Minum | Penyediaan Makan Minum
Produk Susu Olahan                                 | 5     | Barang Konsumen Primer    | Industri Pengolahan                 | Industri Makanan dan Minuman
Produksi & Penyulingan Minyak & Gas                | 5     | Energi                    | Pertambangan dan Penggalian         | Pertambangan Minyak, Gas dan Panas Bumi
Kayu                                               | 5     | Barang Baku               | Industri Pengolahan                 | Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya
Bank Investasi & Perantara Perdagangan             | 5     | Keuangan                  | Jasa Keuangan dan Asuransi          | Jasa Perantara Keuangan
Emas                                               | 4     | Barang Baku               | Industri Pengolahan                 | Industri Logam Dasar
Jasa Pendukung Bisnis                              | 4     | Perindustrian             | Industri Pengolahan                 | Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan
Agen Perjalanan                                    | 4     | Barang Konsumen Non-Primer | Penyediaan Akomodasi dan Makan Minum | Penyediaan Akomodasi
Asuransi Jiwa                                      | 4     | Keuangan                  | Jasa Keuangan dan Asuransi          | Asuransi dan Dana Pensiun
Peralatan Olah Raga & Barang Hobi                  | 4     | Barang Konsumen Non-Primer | nan                                 | nan
Periklanan                                         | 4     | Barang Konsumen Non-Primer | Industri Pengolahan                 | Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman
Ban                                                | 4     | Barang Konsumen Non-Primer | Industri Pengolahan                 | Industri Alat Angkutan
Perangkat & Instrumen Elektronik                   | 4     | Teknologi                 | Industri Pengolahan                 | Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik
Hiburan & Film                                     | 4     | Barang Konsumen Non-Primer | Penyediaan Akomodasi dan Makan Minum | Penyediaan Akomodasi
Rokok                                              | 4     | Barang Konsumen Primer    | Industri Pengolahan                 | Industri Pengolahan Tembakau
Operator Pelabuhan                                 | 4     | Infrastruktur             | Transportasi dan Pergudangan        | Angkutan Laut
Perlengkapan Rumah Tangga                          | 4     | Barang Konsumen Non-Primer | Industri Pengolahan                 | Industri Furnitur
Distributor Barang Konsumen                        | 4     | Barang Konsumen Non-Primer | Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor | Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor
Penerbitan                                         | 3     | Barang Konsumen Non-Primer | Industri Pengolahan                 | Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman
Jasa Pendidikan                                    | 3     | Barang Konsumen Non-Primer | nan                                 | nan
Operator Jalan Tol & Rel                           | 3     | Infrastruktur             | Transportasi dan Pergudangan        | Angkutan Rel
Maskapai Penerbangan                               | 3     | Transportasi & Logistik   | Transportasi dan Pergudangan        | Angkutan Udara
Jasa Penelitian & Konsultasi                       | 3     | Perindustrian             | Industri Pengolahan                 | Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan
Ritel & Distributor Obat-obatan                    | 3     | Barang Konsumen Primer    | Industri Pengolahan                 | Industri Kimia, Farmasi dan Obat Tradisional
Barang Kimia Pertanian                             | 3     | Barang Baku               | Pertanian, Kehutanan, dan Perikanan | Pertanian, Peternakan, Perburuan dan Jasa Pertanian
Jasa Personalia                                    | 3     | Perindustrian             | Industri Pengolahan                 | Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan
Department Store                                   | 3     | Barang Konsumen Non-Primer | Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor | Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor
Perdagangan Aneka Barang Perindustrian             | 3     | Perindustrian             | Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor | Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor
Tembaga                                            | 2     | Barang Baku               | Industri Pengolahan                 | Industri Logam Dasar
Jasa Pengeboran Minyak & Gas                       | 2     | Energi                    | Industri Pengolahan                 | Industri Batubara dan Pengilangan Migas
Alas Kaki                                          | 2     | Barang Konsumen Non-Primer | Industri Pengolahan                 | Industri Kulit, Barang dari Kulit dan Alas Kaki
Operator Bandar Udara                              | 2     | Infrastruktur             | Transportasi dan Pergudangan        | Angkutan Udara
Jasa Pengelolaan Lingkungan & Sarana               | 2     | Perindustrian             | Industri Pengolahan                 | Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan
Produk Hutan Lainnya                               | 2     | Barang Baku               | Pertanian, Kehutanan, dan Perikanan | Kehutanan dan Penebangan Kayu
Penyiaran Berbayar                                 | 2     | Barang Konsumen Non-Primer | Industri Pengolahan                 | Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman
Peralatan Energi Alternatif                        | 2     | Energi                    | Industri Pengolahan                 | Industri Pengolahan Non Migas
Peralatan Jaringan                                 | 2     | Teknologi                 | Industri Pengolahan                 | Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik
Manajemen Investasi                                | 1     | Keuangan                  | Jasa Keuangan dan Asuransi          | Jasa Perantara Keuangan
Barang Elektronik Konsumen                         | 1     | Barang Konsumen Non-Primer | Industri Pengolahan                 | Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik
Utilitas Gas                                       | 1     | Infrastruktur             | Pengadaan Listrik dan Gas           | Ketenagalistrikan
Jasa Real Estat                                    | 1     | Properti & Real Estat     | Real Estate                         | Real Estate
Percetakan Komersial                               | 1     | Perindustrian             | Industri Pengolahan                 | Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman
Reasuransi                                         | 1     | Keuangan                  | Jasa Keuangan dan Asuransi          | Asuransi dan Dana Pensiun
Peralatan Rumah Tangga                             | 1     | Barang Konsumen Non-Primer | Industri Pengolahan                 | Industri Furnitur
Jasa Telekomunikasi Terintegrasi                   | 1     | Infrastruktur             | Industri Pengolahan                 | Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik
