Ticker,Sektor,Subsektor,Industri,Subindustri,Period,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
ABDA,Keuangan,Asuransi,Asuransi,Asuransi Umum,Q3,-,14 B,(1 B),7 B,14 B,42 B,26 B,17 B,15 B,34 B,-,-,-,-,-,-,-,-
ABDA,Keuangan,Asuransi,Asuransi,Asuransi Umum,Q4,-,37 B,1 B,40 B,10 B,41 B,61 B,17 B,(46 B),30 B,-,-,-,-,-,-,-,-
ABDA,Keuangan,Asuransi,Asuransi,Asuransi Umum,Annualised,119 B,100 B,39 B,85 B,91 B,157 B,138 B,88 B,69 B,161 B,-,-,-,-,-,-,-,-
ABDA,Keuangan,Asuransi,Asuransi,Asuransi Umum,TTM (Q1),105 B,100 B,39 B,85 B,91 B,157 B,138 B,88 B,69 B,161 B,-,-,-,-,-,-,-,-
ABDA,Keuangan,Asuransi,Asuransi,Asuransi Umum,Div (TTM),-,-,-,-,-,81.51,67.00,60.00,190.00,90.00,-,-,-,-,-,-,-,-
ABDA,Keuangan,Asuransi,Asuransi,Asuransi Umum,Payout Ratio,-,-,-,-,-,32.15%,30.10%,42.56%,170.68%,34.74%,-,-,-,-,-,-,-,-
ABDA,Keuangan,Asuransi,Asuransi,Asuransi Umum,Div Yield,-,-,-,-,-,1.37%,0.95%,0.85%,3.02%,1.18%,-,-,-,-,-,-,-,-
ABMM,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Q1,243 B,351 B,793 B,"1,615 B",456 B,367 B,26 B,(3 B),94 B,190 B,-,-,-,-,-,-,-,-
ABMM,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Q2,-,104 B,658 B,"1,226 B",928 B,419 B,(78 B),78 B,117 B,163 B,-,-,-,-,-,-,-,-
ABMM,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Q3,-,240 B,327 B,567 B,"1,112 B",568 B,(29 B),86 B,219 B,(226 B),-,-,-,-,-,-,-,-
ABMM,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Q4,-,471 B,433 B,988 B,"1,557 B",764 B,(436 B),(53 B),522 B,(54 B),-,-,-,-,-,-,-,-
