Ticker,Sektor,Subsektor,Industri,Subindustri,Period,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
ELSA,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara",Jasa Pengeboran Minyak & Gas,Q2,-,150 B,260 B,135 B,151 B,19 B,79 B,79 B,57 B,9 B,-,-,-,-,-,-,-,-
ELSA,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara",Jasa Pengeboran Minyak & Gas,Q3,-,190 B,108 B,157 B,64 B,16 B,57 B,84 B,93 B,71 B,-,-,-,-,-,-,-,-
ELSA,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara",Jasa Pengeboran Minyak & Gas,Q4,-,192 B,162 B,97 B,87 B,71 B,62 B,118 B,56 B,162 B,-,-,-,-,-,-,-,-
ELSA,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara",Jasa Pengeboran Minyak & Gas,Annualised,758 B,718 B,714 B,503 B,378 B,109 B,249 B,356 B,276 B,247 B,-,-,-,-,-,-,-,-
ELSA,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara",Jasa Pengeboran Minyak & Gas,TTM (Q1),721 B,718 B,714 B,503 B,378 B,109 B,249 B,356 B,276 B,247 B,-,-,-,-,-,-,-,-
ELSA,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara",Jasa Pengeboran Minyak & Gas,Div (TTM),39.11,39.11,39.11,27.57,25.90,7.45,10.24,12.21,9.46,5.08,-,-,-,-,-,-,-,-
ELSA,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara",Jasa Pengeboran Minyak & Gas,Payout Ratio,37.65%,39.73%,40.00%,39.99%,50.00%,50.00%,30.00%,25.00%,25.00%,15.00%,-,-,-,-,-,-,-,-
ELSA,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara",Jasa Pengeboran Minyak & Gas,Div Yield,5.61%,7.92%,7.92%,6.38%,7.53%,2.42%,3.76%,5.00%,2.31%,1.13%,-,-,-,-,-,-,-,-
ELTY,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Q1,(7 B),(30 B),10 B,(13 B),(12 B),(12 B),99 B,(74 B),"3,113 B",(5 B),-,-,-,-,-,-,-,-
ELTY,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Q2,-,22 B,7 B,(13 B),(1 B),(66 B),(173 B),(64 B),(49 B),37 B,-,-,-,-,-,-,-,-
ELTY,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Q3,-,(6 B),(105 B),18 B,11 B,(49 B),(18 B),(232 B),40 B,(49 B),-,-,-,-,-,-,-,-
ELTY,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Q4,-,(2 B),20 B,"(1,071 B)",(242 B),(75 B),(148 B),(346 B),(353 B),(254 B),-,-,-,-,-,-,-,-
ELTY,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Annualised,(29 B),(17 B),(69 B),"(1,079 B)",(245 B),(202 B),(241 B),(715 B),"2,752 B",(272 B),-,-,-,-,-,-,-,-
ELTY,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,TTM (Q1),6 B,(17 B),(69 B),"(1,079 B)",(245 B),(202 B),(241 B),(715 B),"2,752 B",(272 B),-,-,-,-,-,-,-,-
ELTY,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Div (TTM),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ELTY,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Payout Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ELTY,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Div Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMAS,Barang Baku,Barang Baku,Logam & Mineral,Emas,Q1,-,(151 B),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMAS,Barang Baku,Barang Baku,Logam & Mineral,Emas,Q2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMAS,Barang Baku,Barang Baku,Logam & Mineral,Emas,Q3,-,(214 B),(136 B),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMAS,Barang Baku,Barang Baku,Logam & Mineral,Emas,Q4,-,(87 B),(65 B),(198 B),(106 B),-,-,-,-,-,-,-,-,-,-,-,-,-
EMAS,Barang Baku,Barang Baku,Logam & Mineral,Emas,Annualised,-,(453 B),(201 B),(194 B),(102 B),-,-,-,-,-,-,-,-,-,-,-,-,-
EMAS,Barang Baku,Barang Baku,Logam & Mineral,Emas,TTM (Q4),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMAS,Barang Baku,Barang Baku,Logam & Mineral,Emas,Div (TTM),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMAS,Barang Baku,Barang Baku,Logam & Mineral,Emas,Payout Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMAS,Barang Baku,Barang Baku,Logam & Mineral,Emas,Div Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMDE,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Q1,(3 B),1 B,(8 B),(18 B),(22 B),(6 B),(13 B),(13 B),14 B,16 B,-,-,-,-,-,-,-,-
EMDE,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Q2,-,3 B,(11 B),(14 B),(15 B),(12 B),(16 B),18 B,6 B,12 B,-,-,-,-,-,-,-,-
EMDE,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Q3,-,675 M,475 B,(16 B),(19 B),(30 B),(22 B),50 M,(15 B),5 B,-,-,-,-,-,-,-,-
EMDE,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Q4,-,(82 B),67 B,(223 B),(12 B),"1,076 B",(5 B),(39 B),11 B,73 B,-,-,-,-,-,-,-,-
EMDE,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Annualised,(10 B),(78 B),524 B,(270 B),(68 B),"1,028 B",(56 B),(34 B),16 B,105 B,-,-,-,-,-,-,-,-
EMDE,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,TTM (Q1),(82 B),(78 B),524 B,(270 B),(68 B),"1,028 B",(56 B),(34 B),16 B,105 B,-,-,-,-,-,-,-,-
EMDE,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Div (TTM),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMDE,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Payout Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMDE,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Div Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EMTK,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Q1,(336 B),"3,634 B",259 B,(331 B),"4,073 B",102 B,(157 B),(72 B),(206 B),23 B,-,-,-,-,-,-,-,-
EMTK,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Q2,-,591 B,(109 B),(113 B),"(1,368 B)",162 B,(53 B),(882 B),(159 B),192 B,-,-,-,-,-,-,-,-
EMTK,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Q3,-,"2,211 B",292 B,282 B,"2,840 B",(47 B),687 B,(5 B),(142 B),(114 B),-,-,-,-,-,-,-,-
EMTK,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Q4,-,353 B,"1,028 B",21 B,(101 B),"5,442 B","1,582 B",(557 B),"(2,114 B)",(57 B),-,-,-,-,-,-,-,-
EMTK,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Annualised,"(1,343 B)","6,789 B","1,470 B",(141 B),"5,444 B","5,659 B","2,058 B","(1,516 B)","(2,622 B)",44 B,-,-,-,-,-,-,-,-
EMTK,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,TTM (Q1),"2,819 B","6,789 B","1,470 B",(141 B),"5,444 B","5,659 B","2,058 B","(1,516 B)","(2,622 B)",44 B,-,-,-,-,-,-,-,-
EMTK,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Div (TTM),38.00,38.00,33.00,4.00,10.00,-,-,-,-,6.00,-,-,-,-,-,-,-,-
EMTK,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Payout Ratio,-173.75%,34.38%,137.79%,-174.45%,11.28%,-,-,-,-,841.37%,-,-,-,-,-,-,-,-
EMTK,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Div Yield,5.14%,3.22%,5.55%,1.03%,1.38%,-,-,-,-,0.67%,-,-,-,-,-,-,-,-
ENAK,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan,Q1,(18 B),(11 B),15 B,3 B,2 B,(12 B),-,-,-,-,-,-,-,-,-,-,-,-
ENAK,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan,Q2,-,5 B,18 B,27 B,41 B,7 B,(117 B),-,-,-,-,-,-,-,-,-,-,-
ENAK,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan,Q3,-,(31 B),(14 B),(16 B),4 B,(35 B),-,-,-,-,-,-,-,-,-,-,-,-
ENAK,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan,Q4,-,(38 B),(2 B),7 B,16 B,32 B,(19 B),102 B,52 B,-,-,-,-,-,-,-,-,-
ENAK,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan,Annualised,(72 B),(75 B),18 B,21 B,62 B,(7 B),(136 B),102 B,52 B,-,-,-,-,-,-,-,-,-
ENAK,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan,TTM (Q1),(82 B),(75 B),18 B,21 B,62 B,(7 B),-,-,-,-,-,-,-,-,-,-,-,-
ENAK,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan,Div (TTM),-,-,-,-,12.00,-,-,-,-,-,-,-,-,-,-,-,-,-
ENAK,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan,Payout Ratio,-,-,-,-,41.74%,-,-,-,-,-,-,-,-,-,-,-,-,-
ENAK,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan,Div Yield,-,-,-,-,0.93%,-,-,-,-,-,-,-,-,-,-,-,-,-
ENRG,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Produksi & Penyulingan Minyak & Gas,Q1,-,294 B,277 B,267 B,148 B,87 B,181 B,107 B,14 B,711 B,(199 B),-,-,-,-,-,-,-
ENRG,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Produksi & Penyulingan Minyak & Gas,Q2,-,293 B,257 B,135 B,227 B,96 B,219 B,272 B,(214 B),716 B,(212 B),-,-,-,-,-,-,-
ENRG,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Produksi & Penyulingan Minyak & Gas,Q3,-,326 B,280 B,291 B,273 B,81 B,216 B,(208 B),(6 B),(268 B),(214 B),-,-,-,-,-,-,-
ENRG,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Produksi & Penyulingan Minyak & Gas,Q4,-,598 B,381 B,355 B,352 B,310 B,167 B,227 B,29 B,(845 B),"(3,965 B)",-,-,-,-,-,-,-
ENRG,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Produksi & Penyulingan Minyak & Gas,Annualised,-,"1,508 B","1,195 B","1,044 B",993 B,576 B,782 B,396 B,(181 B),327 B,"(4,607 B)",-,-,-,-,-,-,-
ENRG,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Produksi & Penyulingan Minyak & Gas,TTM (Q4),-,"1,508 B","1,195 B","1,044 B",993 B,576 B,782 B,396 B,(181 B),327 B,"(4,607 B)",-,-,-,-,-,-,-
ENRG,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Produksi & Penyulingan Minyak & Gas,Div (TTM),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ENRG,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Produksi & Penyulingan Minyak & Gas,Payout Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ENRG,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Produksi & Penyulingan Minyak & Gas,Div Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ENVY,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,Q1,-,(1 B),(3 B),(4 B),(3 B),(3 B),(7 B),-,-,-,-,-,-,-,-,-,-,-
ENVY,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,Q2,-,(956 M),(966 M),(5 B),(2 B),(2 B),(7 B),2 B,1 B,-,-,-,-,-,-,-,-,-
ENVY,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,Q3,-,(1 B),(4 B),(1 B),(11 B),(1 B),(7 B),3 B,-,-,-,-,-,-,-,-,-,-
ENVY,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,Q4,-,-,(6 B),(21 B),(18 B),(245 B),(6 B),2 B,2 B,-,-,-,-,-,-,-,-,-
ENVY,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,Annualised,-,(4 B),(14 B),(31 B),(34 B),(251 B),(26 B),8 B,3 B,-,-,-,-,-,-,-,-,-
ENVY,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,TTM (Q3),-,(10 B),(14 B),(31 B),(34 B),(251 B),(26 B),8 B,-,-,-,-,-,-,-,-,-,-
ENVY,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,Div (TTM),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ENVY,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,Payout Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ENVY,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,Div Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ENZO,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Q1,971 M,(4 B),1 B,(2 B),1 B,748 M,3 B,-,-,-,-,-,-,-,-,-,-,-
ENZO,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Q2,-,(3 B),4 B,3 B,107 M,651 M,(2 B),-,-,-,-,-,-,-,-,-,-,-
ENZO,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Q3,-,(1 B),2 B,186 M,1 B,4 B,2 B,2 B,-,-,-,-,-,-,-,-,-,-
ENZO,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Q4,-,8 B,(1 B),(5 B),(573 M),5 B,(1 B),(1 B),-,-,-,-,-,-,-,-,-,-
ENZO,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Annualised,4 B,(541 M),7 B,(4 B),2 B,10 B,1 B,968 M,-,-,-,-,-,-,-,-,-,-
ENZO,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",TTM (Q1),5 B,(541 M),7 B,(4 B),2 B,10 B,1 B,-,-,-,-,-,-,-,-,-,-,-
ENZO,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Div (TTM),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ENZO,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Payout Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ENZO,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Div Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EPAC,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Q1,(3 B),(2 B),(5 B),(6 B),(2 B),1 B,2 B,-,-,-,-,-,-,-,-,-,-,-
EPAC,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Q2,-,(3 B),(5 B),(4 B),(5 B),2 B,802 M,547 M,-,-,-,-,-,-,-,-,-,-
EPAC,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Q3,-,(4 B),(6 B),(5 B),(32 B),1 B,6 B,2 B,-,-,-,-,-,-,-,-,-,-
EPAC,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Q4,-,5 B,(2 B),(13 B),(23 B),(3 B),(4 B),412 M,-,-,-,-,-,-,-,-,-,-
EPAC,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Annualised,(12 B),(3 B),(18 B),(28 B),(62 B),2 B,4 B,3 B,-,-,-,-,-,-,-,-,-,-
EPAC,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,TTM (Q1),(4 B),(3 B),(18 B),(28 B),(62 B),2 B,4 B,-,-,-,-,-,-,-,-,-,-,-
EPAC,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Div (TTM),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EPAC,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Payout Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EPAC,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Div Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EPMT,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Obat-obatan,Q1,268 B,281 B,279 B,270 B,263 B,232 B,176 B,132 B,115 B,90 B,-,-,-,-,-,-,-,-
EPMT,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Obat-obatan,Q2,-,112 B,88 B,76 B,170 B,183 B,146 B,182 B,169 B,154 B,-,-,-,-,-,-,-,-
EPMT,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Obat-obatan,Q3,-,211 B,221 B,194 B,238 B,260 B,114 B,157 B,185 B,94 B,-,-,-,-,-,-,-,-
EPMT,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Obat-obatan,Q4,-,185 B,154 B,148 B,176 B,172 B,244 B,110 B,184 B,180 B,-,-,-,-,-,-,-,-
EPMT,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Obat-obatan,Annualised,"1,070 B",789 B,742 B,688 B,848 B,848 B,681 B,581 B,653 B,518 B,-,-,-,-,-,-,-,-
EPMT,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Obat-obatan,TTM (Q1),776 B,789 B,742 B,688 B,848 B,848 B,681 B,581 B,653 B,518 B,-,-,-,-,-,-,-,-
EPMT,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Obat-obatan,Div (TTM),179.00,179.00,179.00,166.00,205.00,205.00,200.00,90.00,90.00,5.00,-,-,-,-,-,-,-,-
EPMT,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Obat-obatan,Payout Ratio,45.30%,65.36%,65.36%,65.31%,65.52%,65.49%,79.60%,41.99%,37.33%,2.62%,-,-,-,-,-,-,-,-
EPMT,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Obat-obatan,Div Yield,7.52%,6.96%,6.96%,6.83%,6.74%,6.81%,7.91%,4.55%,3.66%,0.26%,-,-,-,-,-,-,-,-
ERAA,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Q1,453 B,203 B,255 B,235 B,295 B,278 B,103 B,47 B,205 B,65 B,-,-,-,-,-,-,-,-
ERAA,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Q2,-,365 B,268 B,223 B,212 B,280 B,11 B,62 B,230 B,74 B,-,-,-,-,-,-,-,-
ERAA,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Q3,-,217 B,268 B,36 B,173 B,161 B,182 B,56 B,201 B,83 B,-,-,-,-,-,-,-,-
ERAA,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Q4,-,410 B,241 B,331 B,333 B,293 B,317 B,129 B,214 B,117 B,-,-,-,-,-,-,-,-
ERAA,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Annualised,"1,811 B","1,196 B","1,033 B",826 B,"1,013 B","1,012 B",612 B,295 B,850 B,339 B,-,-,-,-,-,-,-,-
ERAA,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,TTM (Q1),"1,445 B","1,196 B","1,033 B",826 B,"1,013 B","1,012 B",612 B,295 B,850 B,339 B,-,-,-,-,-,-,-,-
ERAA,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Div (TTM),19.00,19.00,19.00,17.00,19.00,22.80,13.80,-,10.00,7.60,-,-,-,-,-,-,-,-
ERAA,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Payout Ratio,16.74%,25.34%,29.35%,32.82%,29.92%,35.92%,35.97%,-,18.76%,35.71%,-,-,-,-,-,-,-,-
ERAA,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Div Yield,4.75%,3.76%,3.76%,4.34%,3.86%,4.47%,2.28%,-,4.74%,2.22%,-,-,-,-,-,-,-,-
ERAL,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Q1,44 B,42 B,41 B,51 B,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERAL,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Q2,-,38 B,50 B,54 B,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERAL,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Q3,-,45 B,67 B,59 B,160 B,-,-,-,-,-,-,-,-,-,-,-,-,-
ERAL,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Q4,-,44 B,44 B,47 B,24 B,181 B,71 B,-,-,-,-,-,-,-,-,-,-,-
ERAL,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Annualised,175 B,169 B,201 B,211 B,184 B,181 B,71 B,-,-,-,-,-,-,-,-,-,-,-
ERAL,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,TTM (Q1),171 B,169 B,201 B,211 B,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERAL,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Div (TTM),8.00,8.00,8.00,10.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERAL,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Payout Ratio,23.76%,24.55%,20.60%,24.58%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERAL,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Div Yield,2.61%,2.68%,2.68%,4.76%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERTX,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,"Pakaian, Aksesoris, & Tas",Q1,14 B,20 B,8 B,18 B,9 B,7 B,8 B,6 B,8 B,4 B,-,-,-,-,-,-,-,-
ERTX,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,"Pakaian, Aksesoris, & Tas",Q2,-,4 B,(4 B),11 B,12 B,5 B,3 B,5 B,7 B,(3 B),-,-,-,-,-,-,-,-
ERTX,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,"Pakaian, Aksesoris, & Tas",Q3,-,5 B,6 B,5 B,12 B,7 B,(11 B),585 M,(5 B),(8 B),-,-,-,-,-,-,-,-
ERTX,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,"Pakaian, Aksesoris, & Tas",Q4,-,5 B,13 B,8 B,26 B,3 B,(15 B),350 M,5 B,(16 B),-,-,-,-,-,-,-,-
ERTX,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,"Pakaian, Aksesoris, & Tas",Annualised,55 B,35 B,24 B,42 B,58 B,23 B,(14 B),12 B,15 B,(24 B),-,-,-,-,-,-,-,-
ERTX,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,"Pakaian, Aksesoris, & Tas",TTM (Q1),28 B,35 B,24 B,42 B,58 B,23 B,(14 B),12 B,15 B,(24 B),-,-,-,-,-,-,-,-
ERTX,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,"Pakaian, Aksesoris, & Tas",Div (TTM),-,-,-,-,11.66,2.91,-,-,-,-,-,-,-,-,-,-,-,-
