province,bkpm_sector,idx_netincome_latest,idx_netincome_year,Peluang,PDRB_2024,Realisasi_Investasi,Kawasan_Industri
Sulawesi Utara,PERINDUSTRIAN,165583339000000.0,2025,2 Proyek,Rp 90.203.560.000.000,"PMA (US$ Ribu) : 6.335.001,8 | PMDN (Rp Juta) : 45.568.439,4",3 Kawasan
Sulawesi Utara,PERIKANAN,10266634000000.0,2025,2 Proyek,Rp 90.203.560.000.000,"PMA (US$ Ribu) : 6.335.001,8 | PMDN (Rp Juta) : 45.568.439,4",3 Kawasan
Sulawesi Tengah,KONSTRUKSI,4725103000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 9.048.380.497 | PMDN (Rp Juta) : 4.593.011.015.770,11",7 Kawasan
Sulawesi Tengah,PERINDUSTRIAN,165583339000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 9.048.380.497 | PMDN (Rp Juta) : 4.593.011.015.770,11",7 Kawasan
Sulawesi Tengah,PERTANIAN,34532000000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 9.048.380.497 | PMDN (Rp Juta) : 4.593.011.015.770,11",7 Kawasan
Sulawesi Tengah,PERTAMBANGAN,93828770000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 9.048.380.497 | PMDN (Rp Juta) : 4.593.011.015.770,11",7 Kawasan
Sulawesi Tengah,PERIKANAN,10266634000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 9.048.380.497 | PMDN (Rp Juta) : 4.593.011.015.770,11",7 Kawasan
Sulawesi Selatan,PERTANIAN,34532000000000.0,2025,9 Proyek,,"PMA (US$ Ribu) : 5.291.340,51 | PMDN (Rp Juta) : 80.282.889,7",1 Kawasan
Sulawesi Selatan,KONSTRUKSI,4725103000000.0,2025,9 Proyek,,"PMA (US$ Ribu) : 5.291.340,51 | PMDN (Rp Juta) : 80.282.889,7",1 Kawasan
Sulawesi Selatan,PERIKANAN,10266634000000.0,2025,9 Proyek,,"PMA (US$ Ribu) : 5.291.340,51 | PMDN (Rp Juta) : 80.282.889,7",1 Kawasan
Sulawesi Selatan,PERINDUSTRIAN,165583339000000.0,2025,9 Proyek,,"PMA (US$ Ribu) : 5.291.340,51 | PMDN (Rp Juta) : 80.282.889,7",1 Kawasan
Sulawesi Tenggara,PERIKANAN,10266634000000.0,2025,3 Proyek,Rp 95.940.020.000.000,"PMA (US$ Ribu) : 9.130.784,94 | PMDN (Rp Juta) : 50.561.460,98",3 Kawasan
Sulawesi Tenggara,PERTAMBANGAN,93828770000000.0,2025,3 Proyek,Rp 95.940.020.000.000,"PMA (US$ Ribu) : 9.130.784,94 | PMDN (Rp Juta) : 50.561.460,98",3 Kawasan
Sulawesi Tenggara,PARIWISATA,2361177000000.0,2025,3 Proyek,Rp 95.940.020.000.000,"PMA (US$ Ribu) : 9.130.784,94 | PMDN (Rp Juta) : 50.561.460,98",3 Kawasan
Sulawesi Tenggara,PERTANIAN,34532000000000.0,2025,3 Proyek,Rp 95.940.020.000.000,"PMA (US$ Ribu) : 9.130.784,94 | PMDN (Rp Juta) : 50.561.460,98",3 Kawasan
Gorontalo,PERTANIAN,34532000000000.0,2025,2 Proyek,Rp 25.410.060.000.000,"PMA (US$ Ribu) : 1.549.050,4 | PMDN (Rp Juta) : 23.855.934,03",0 Kawasan
Gorontalo,PARIWISATA,2361177000000.0,2025,2 Proyek,Rp 25.410.060.000.000,"PMA (US$ Ribu) : 1.549.050,4 | PMDN (Rp Juta) : 23.855.934,03",0 Kawasan
Gorontalo,PERIKANAN,10266634000000.0,2025,2 Proyek,Rp 25.410.060.000.000,"PMA (US$ Ribu) : 1.549.050,4 | PMDN (Rp Juta) : 23.855.934,03",0 Kawasan
Sulawesi Barat,PERINDUSTRIAN,165583339000000.0,2025,2 Proyek,Rp 27.339.810.000.000,"PMA (US$ Ribu) : 8.994.488.248 | PMDN (Rp Juta) : 1.954.860.069.170,6",0 Kawasan
Sulawesi Barat,PERTANIAN,34532000000000.0,2025,2 Proyek,Rp 27.339.810.000.000,"PMA (US$ Ribu) : 8.994.488.248 | PMDN (Rp Juta) : 1.954.860.069.170,6",0 Kawasan
Sulawesi Barat,PERIKANAN,10266634000000.0,2025,2 Proyek,Rp 27.339.810.000.000,"PMA (US$ Ribu) : 8.994.488.248 | PMDN (Rp Juta) : 1.954.860.069.170,6",0 Kawasan
Maluku,PERIKANAN,10266634000000.0,2025,2 Proyek,Rp 23.984.540.000.000,"PMA (US$ Ribu) : 1.002.869,7 | PMDN (Rp Juta) : 8.863.220,1",0 Kawasan
Maluku,PERTANIAN,34532000000000.0,2025,2 Proyek,Rp 23.984.540.000.000,"PMA (US$ Ribu) : 1.002.869,7 | PMDN (Rp Juta) : 8.863.220,1",0 Kawasan
Maluku,PENGANGKUTAN,3183856000000.0,2025,2 Proyek,Rp 23.984.540.000.000,"PMA (US$ Ribu) : 1.002.869,7 | PMDN (Rp Juta) : 8.863.220,1",0 Kawasan
Maluku,ENERGI,22543058000000.0,2025,2 Proyek,Rp 23.984.540.000.000,"PMA (US$ Ribu) : 1.002.869,7 | PMDN (Rp Juta) : 8.863.220,1",0 Kawasan
Maluku,PERDAGANGAN,17749000000000.0,2025,2 Proyek,Rp 23.984.540.000.000,"PMA (US$ Ribu) : 1.002.869,7 | PMDN (Rp Juta) : 8.863.220,1",0 Kawasan
Maluku,PERINDUSTRIAN,165583339000000.0,2025,2 Proyek,Rp 23.984.540.000.000,"PMA (US$ Ribu) : 1.002.869,7 | PMDN (Rp Juta) : 8.863.220,1",0 Kawasan
Maluku Utara,PERTANIAN,34532000000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 9.589.814.241,8 | PMDN (Rp Juta) : 16.944.819.401.620,8",4 Kawasan
Maluku Utara,PERTAMBANGAN,93828770000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 9.589.814.241,8 | PMDN (Rp Juta) : 16.944.819.401.620,8",4 Kawasan
Maluku Utara,PERIKANAN,10266634000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 9.589.814.241,8 | PMDN (Rp Juta) : 16.944.819.401.620,8",4 Kawasan
Papua Barat,PERTANIAN,34532000000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 483.249.066,9 | PMDN (Rp Juta) : 1.977.906.976.168",0 Kawasan
Papua Barat,PERTAMBANGAN,93828770000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 483.249.066,9 | PMDN (Rp Juta) : 1.977.906.976.168",0 Kawasan
Papua Barat,PARIWISATA,2361177000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 483.249.066,9 | PMDN (Rp Juta) : 1.977.906.976.168",0 Kawasan
Papua Barat,PERINDUSTRIAN,165583339000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 483.249.066,9 | PMDN (Rp Juta) : 1.977.906.976.168",0 Kawasan
Papua Barat,PERIKANAN,10266634000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 483.249.066,9 | PMDN (Rp Juta) : 1.977.906.976.168",0 Kawasan
Papua Tengah,PERTAMBANGAN,93828770000000.0,2025,0 Proyek,,"PMA (US$ Ribu) : 2.464.881,9 | PMDN (Rp Juta) : 458.840,7",0 Kawasan
Papua Pegunungan,NAN,,2025,0 Proyek,Rp 9.263.870.000.000,"PMA (US$ Ribu) : 0 | PMDN (Rp Juta) : 214.657,5",0 Kawasan
Papua Barat Daya,PARIWISATA,2361177000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 175.911,3 | PMDN (Rp Juta) : 3.453.031,3",1 Kawasan
Papua Barat Daya,PERTAMBANGAN,93828770000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 175.911,3 | PMDN (Rp Juta) : 3.453.031,3",1 Kawasan
