province,bkpm_sector,idx_netincome_latest,idx_netincome_year,Peluang,PDRB_2024,Realisasi_Investasi,Kawasan_Industri
Jambi,PENGANGKUTAN,3183856000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 911.828 | PMDN (Rp Juta) : 60.422.169,1",0 Kawasan
Jambi,PARIWISATA,2361177000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 911.828 | PMDN (Rp Juta) : 60.422.169,1",0 Kawasan
Jambi,KEUANGAN,260353000000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 911.828 | PMDN (Rp Juta) : 60.422.169,1",0 Kawasan
Jambi,PERDAGANGAN,17749000000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 911.828 | PMDN (Rp Juta) : 60.422.169,1",0 Kawasan
Jambi,ENERGI,22543058000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 911.828 | PMDN (Rp Juta) : 60.422.169,1",0 Kawasan
Jambi,KONSTRUKSI,4725103000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 911.828 | PMDN (Rp Juta) : 60.422.169,1",0 Kawasan
Jambi,PERTAMBANGAN,93828770000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 911.828 | PMDN (Rp Juta) : 60.422.169,1",0 Kawasan
Jambi,PERIKANAN,10266634000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 911.828 | PMDN (Rp Juta) : 60.422.169,1",0 Kawasan
Jambi,PERTANIAN,34532000000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 911.828 | PMDN (Rp Juta) : 60.422.169,1",0 Kawasan
Sumatera Selatan,PERDAGANGAN,17749000000000.0,2025,27 Proyek,,"PMA (US$ Ribu) : 47.096.598.941.595,02 | PMDN (Rp Juta) : 5.060.790.921.821.505",1 Kawasan
Sumatera Selatan,KEUANGAN,260353000000000.0,2025,27 Proyek,,"PMA (US$ Ribu) : 47.096.598.941.595,02 | PMDN (Rp Juta) : 5.060.790.921.821.505",1 Kawasan
Sumatera Selatan,PENGANGKUTAN,3183856000000.0,2025,27 Proyek,,"PMA (US$ Ribu) : 47.096.598.941.595,02 | PMDN (Rp Juta) : 5.060.790.921.821.505",1 Kawasan
Sumatera Selatan,KONSTRUKSI,4725103000000.0,2025,27 Proyek,,"PMA (US$ Ribu) : 47.096.598.941.595,02 | PMDN (Rp Juta) : 5.060.790.921.821.505",1 Kawasan
Sumatera Selatan,PERTANIAN,34532000000000.0,2025,27 Proyek,,"PMA (US$ Ribu) : 47.096.598.941.595,02 | PMDN (Rp Juta) : 5.060.790.921.821.505",1 Kawasan
Sumatera Selatan,PERINDUSTRIAN,165583339000000.0,2025,27 Proyek,,"PMA (US$ Ribu) : 47.096.598.941.595,02 | PMDN (Rp Juta) : 5.060.790.921.821.505",1 Kawasan
Sumatera Selatan,ENERGI,22543058000000.0,2025,27 Proyek,,"PMA (US$ Ribu) : 47.096.598.941.595,02 | PMDN (Rp Juta) : 5.060.790.921.821.505",1 Kawasan
Sumatera Selatan,PERTAMBANGAN,93828770000000.0,2025,27 Proyek,,"PMA (US$ Ribu) : 47.096.598.941.595,02 | PMDN (Rp Juta) : 5.060.790.921.821.505",1 Kawasan
Sumatera Selatan,PERIKANAN,10266634000000.0,2025,27 Proyek,,"PMA (US$ Ribu) : 47.096.598.941.595,02 | PMDN (Rp Juta) : 5.060.790.921.821.505",1 Kawasan
Sumatera Selatan,PARIWISATA,2361177000000.0,2025,27 Proyek,,"PMA (US$ Ribu) : 47.096.598.941.595,02 | PMDN (Rp Juta) : 5.060.790.921.821.505",1 Kawasan
Bengkulu,PERDAGANGAN,17749000000000.0,2025,20 Proyek,,"PMA (US$ Ribu) : 1.306.362,4 | PMDN (Rp Juta) : 59.428.890,8",0 Kawasan
Bengkulu,PERTANIAN,34532000000000.0,2025,20 Proyek,,"PMA (US$ Ribu) : 1.306.362,4 | PMDN (Rp Juta) : 59.428.890,8",0 Kawasan
Bengkulu,PERIKANAN,10266634000000.0,2025,20 Proyek,,"PMA (US$ Ribu) : 1.306.362,4 | PMDN (Rp Juta) : 59.428.890,8",0 Kawasan
Bengkulu,PENGANGKUTAN,3183856000000.0,2025,20 Proyek,,"PMA (US$ Ribu) : 1.306.362,4 | PMDN (Rp Juta) : 59.428.890,8",0 Kawasan
Bengkulu,PARIWISATA,2361177000000.0,2025,20 Proyek,,"PMA (US$ Ribu) : 1.306.362,4 | PMDN (Rp Juta) : 59.428.890,8",0 Kawasan
Bengkulu,PERINDUSTRIAN,165583339000000.0,2025,20 Proyek,,"PMA (US$ Ribu) : 1.306.362,4 | PMDN (Rp Juta) : 59.428.890,8",0 Kawasan
Bengkulu,KONSTRUKSI,4725103000000.0,2025,20 Proyek,,"PMA (US$ Ribu) : 1.306.362,4 | PMDN (Rp Juta) : 59.428.890,8",0 Kawasan
Lampung,PERTANIAN,34532000000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 318.234.673,1 | PMDN (Rp Juta) : 19.958.065.086.546,7",2 Kawasan
Lampung,PERIKANAN,10266634000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 318.234.673,1 | PMDN (Rp Juta) : 19.958.065.086.546,7",2 Kawasan
Lampung,PARIWISATA,2361177000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 318.234.673,1 | PMDN (Rp Juta) : 19.958.065.086.546,7",2 Kawasan
Lampung,ENERGI,22543058000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 318.234.673,1 | PMDN (Rp Juta) : 19.958.065.086.546,7",2 Kawasan
Lampung,PENGANGKUTAN,3183856000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 318.234.673,1 | PMDN (Rp Juta) : 19.958.065.086.546,7",2 Kawasan
Kepulauan Bangka-Belitung,PERIKANAN,10266634000000.0,2025,1 Proyek,Rp 49.340.520.000.000,"PMA (US$ Ribu) : 1.287.734,13 | PMDN (Rp Juta) : 56.299.771,49",1 Kawasan
Kepulauan Bangka-Belitung,PARIWISATA,2361177000000.0,2025,1 Proyek,Rp 49.340.520.000.000,"PMA (US$ Ribu) : 1.287.734,13 | PMDN (Rp Juta) : 56.299.771,49",1 Kawasan
Kepulauan Bangka-Belitung,PERTANIAN,34532000000000.0,2025,1 Proyek,Rp 49.340.520.000.000,"PMA (US$ Ribu) : 1.287.734,13 | PMDN (Rp Juta) : 56.299.771,49",1 Kawasan
